POP_ID,WTRSHD_FID,psfstreamID,MatchType,WSD_ID_50K,StreamOrder
40962,4511,9604,4,11897,5
40963,4511,9144,4,11897,5
40964,4511,8937,4,11897,5
40966,4515,9337,4,11772,5
40967,4515,9364,4,11772,5
40967,4515,9605,4,11772,5
40968,4515,9145,4,11772,5
40977,4531,9365,4,,3
40980,4532,9653,4,12127,5
40981,4532,9338,4,12127,5
40982,4532,9366,4,12127,5
40982,4532,9606,4,12127,5
40983,4532,9146,4,12127,5
40991,4594,9339,4,12794,4
40992,4594,9367,4,12794,4
40993,4594,9147,4,12794,4
40996,4594,9340,4,,4
40997,4594,9368,4,,4
40997,4594,9607,4,,4
40998,4594,9148,4,,4
41000,4595,9654,4,13589,4
41001,4595,9341,4,13589,4
41002,4595,9369,4,13589,4
41002,4595,9608,4,13589,4
41003,4595,9149,4,13589,4
41006,4539,9342,4,13492,4
41007,4539,9370,4,13492,4
41007,4539,9609,4,13492,4
41008,4539,9150,4,13492,4
41016,4540,9343,4,13790,5
41017,4540,9372,4,13790,5
41017,4540,9610,4,13790,5
41018,4540,9151,4,13790,5
41020,4543,9661,4,13661,5
41021,4543,9344,4,13661,5
41022,4543,9373,4,13661,5
41022,4543,9611,4,13661,5
41023,4543,9152,4,13661,5
41024,4543,,5,13661,5
41036,4555,9345,4,,3
41037,4555,9374,4,,3
41041,4559,9346,4,11625,5
41042,4559,9375,4,11625,5
41042,4559,9612,4,11625,5
41043,4559,9153,4,11625,5
41046,4563,9347,4,11473,5
41047,4563,9376,4,11473,5
41047,4563,9613,4,11473,5
41048,4563,9154,4,11473,5
41051,10696,9348,4,,3
41053,10696,8945,4,,3
41056,10696,9156,4,,3
41057,10696,9378,4,,3
41057,10696,9543,4,,3
41058,10696,8946,4,,3
41060,10680,9660,4,16594,5
41061,10680,9157,4,16594,5
41062,10680,9379,4,16594,5
41062,10680,9544,4,16594,5
41063,10680,8947,4,16594,5
41066,10696,9158,4,,3
41067,10696,9380,4,,3
41071,10683,9159,4,,4
41072,10683,9381,4,,4
41073,10683,8948,4,,4
41075,1251,7780,4,29303,6
41077,1251,6861,4,29303,6
41079,1251,7218,4,29303,6
41079,1251,7545,4,29303,6
41081,1251,6229,4,29303,6
41097,1984,6547,4,,4
41101,1984,6491,4,,4
41115,1954,7880,1,34527,6
41117,1954,6531,1,34527,6
41119,1954,7388,1,34527,6
41119,1954,7648,1,34527,6
41121,1954,6418,1,34527,6
41123,1954,5810,1,34527,6
41125,1958,7813,4,34821,4
41127,1958,6501,4,34821,4
41129,1958,7337,4,34821,4
41131,1958,6289,4,34821,4
41133,1958,5760,4,34821,4
41142,1996,6519,4,34987,4
41146,1996,6373,4,34987,4
41152,1998,6535,4,,4
41156,1998,6441,4,,4
41160,1959,7913,4,34647,5
41162,1959,6546,4,34647,5
41164,1959,7416,4,34647,5
41164,1959,7608,4,34647,5
41166,1959,6490,4,34647,5
41168,1959,5795,4,34647,5
41170,1960,7693,4,34283,6
41172,1960,6530,4,34283,6
41174,1960,7386,4,34283,6
41174,1960,7646,4,34283,6
41176,1960,6414,4,34283,6
41178,1960,5808,4,34283,6
41180,1986,7663,4,34726,3
41182,1986,6507,4,34726,3
41186,1986,6455,4,34726,3
41190,1986,7857,4,34616,3
41192,1986,6521,4,34616,3
41194,1986,7368,4,34616,3
41196,1986,6376,4,34616,3
41198,1986,5796,4,34616,3
41200,1965,7897,1,34196,4
41202,1965,6541,1,34196,4
41204,1965,7405,1,34196,4
41204,1965,7598,1,34196,4
41206,1965,6469,1,34196,4
